SL no,S/C No.,Name,Address,Phase,Meter Number ,Service Connection number
146,4175,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912676,95790074175
147,4176,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-502,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912677,95790074176
148,4177,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-503,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912678,95790074177
149,4178,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912679,95790074178
150,4179,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-601,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912680,95790074179
151,4180,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-602,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914481,95790074180
152,4181,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-603,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914482,95790074181
153,4182,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914483,95790074182
154,4183,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-701,.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kuppa",3,6914484,95790074183
155,4184,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-702,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",3,6914485,95790074184
156,4185,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-703,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914486,95790074185
157,4186,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-704,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914487,95790074186
158,4187,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-801,.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kuppa",3,6914488,95790074187
159,4188,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-802,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914489,95790074188
160,4189,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-803,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914490,95790074189
161,4190,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-804,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912371,95790074190
162,4191,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-901,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912372,95790074191
163,4192,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-902,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912373,95790074192
164,4193,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-903,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913274,95790074193
165,4194,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-904,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912375,95790074194
166,4195,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1001,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912376,95790074195
167,4196,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1002,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912377,95790074196
168,4197,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1003,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912378,95790074197
169,4198,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1004,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912379,95790074198
170,4199,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6912380,95790074199
171,4200,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913271,95790074200
172,4201,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1103,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913272,95790074201
173,4202,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913273,95790074202
174,4203,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913274,95790074203
175,4204,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913275,95790074204
176,4205,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913276,95790074205
177,4206,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913277,95790074206
178,4207,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913278,95790074207
179,4208,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913279,95790074208
180,4209,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913280,95790074209
181,4210,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,d-1403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914041,95790074210
182,4211,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914042,95790074211
183,4212,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-103,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914043,95790074212
184,4213,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914044,95790074213
185,4214,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914045,95790074214
186,4215,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-203,casa Grande Homes Pvt.ltd.,,kanathur Reddy Kuppam",3,6914046,95790074215
187,4216,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914047,95790074216
188,4217,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914048,95790074217
189,4218,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914049,95790074218
190,4219,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914050,95790074219
191,4220,Casa Grande Homes Pvt. Ltd.,"S/o.m/s.s.prabhu Kumar,e-304,casa Grande Homes,kanathur Reddy Kuppam ,thiru",3,6913381,95790074220
192,4221,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913382,95790074221
193,4222,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913383,95790074222
194,4223,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913384,95790074223
195,4224,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913385,95790074224
196,4225,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913386,95790074225
197,4226,Casa Grande Homes Pvt. Ltd.,"E-502,casa Grande Homes Pvt.,kanathur",3,6913387,95790074226
198,4227,Casa Grande Homes Pvt. Ltd.,"S/o.s.prabhu Kumar,e-503,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913388,95790074227
199,4228,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913389,95790074228
200,4229,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-601,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913390,95790074229
201,4230,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-602,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913321,95790074230
202,4231,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-603,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913322,95790074231
203,4232,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913323,95790074232
204,4233,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-701,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913324,95790074233
205,4234,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-702,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913325,95790074234
206,4235,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-703,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913326,95790074235
207,4236,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-704,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913327,95790074236
208,4237,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-802,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913328,95790074237
209,4238,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-803,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913329,95790074238
210,4239,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-902,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913330,95790074239
211,4240,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-903,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6911891,95790074240
212,4241,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-904,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6911892,95790074241
213,4242,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1001,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911893,95790074242
214,4243,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1002,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6911894,95790074243
215,4244,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1003,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6911895,95790074244
216,4245,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911896,95790074245
217,4246,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1102,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6911897,95790074246
218,4247,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1103,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6911898,95790074247
219,4248,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6911899,95790074248
220,4249,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1202,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6911900,95790074249
221,4250,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1203,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6913461,95790074250
222,4251,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913462,95790074251
223,4252,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1302,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6913463,95790074252
224,4253,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913464,95790074253
225,4254,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913465,95790074254
226,4255,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,e-1402,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6913466,95790074255
227,4256,Casa Grande Homes Pvt. Ltd.,"E-1004,casa Grande,kanathur",3,6913467,95790074256
228,4257,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-102,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913468,95790074257
229,4258,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-103,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913469,95790074258
230,4259,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-201,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913470,95790074259
231,4260,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-202,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914331,95790074260
232,4261,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-203,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914332,95790074261
233,4262,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914333,95790074262
234,4263,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-301,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914334,95790074263
235,4264,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-302,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914335,95790074264
236,4265,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-303,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914336,95790074265
237,4266,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914337,95790074266
238,4267,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-401,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914338,95790074267
239,4268,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-402,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914339,95790074268
240,4269,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-403,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914340,95790074269
241,4270,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913361,95790074270
242,4271,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-501,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913362,95790074271
243,4272,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-502,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913363,95790074272
244,4273,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-503,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913364,95790074273
245,4274,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913365,95790074274
246,4275,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-601,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913366,95790074275
247,4276,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-602,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913367,95790074276
248,4277,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-603,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913368,95790074277
249,4278,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913369,95790074278
250,4279,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-701,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6913370,95790074279
251,4280,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-702,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912571,95790074280
252,4281,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-703,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912572,95790074281
253,4282,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-704,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912573,95790074282
254,4283,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-802,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912574,95790074283
255,4284,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-803,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912575,95790074284
256,4285,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-901,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912576,95790074285
257,4286,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-902,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912577,95790074286
258,4287,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-903,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912578,95790074287
259,4288,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1001,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6912579,95790074288
260,4289,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1002,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6912580,95790074289
261,4290,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1003,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914461,95790074290
262,4291,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1004,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914462,95790074291
263,4292,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914463,95790074292
264,4293,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1102,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914464,95790074293
265,4294,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1103,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914465,95790074294
266,4295,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914466,95790074295
267,4296,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1202,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914467,95790074296
268,4297,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1203,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914468,95790074297
269,4298,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914469,95790074298
270,4299,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914470,95790074299
271,4300,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1303,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914561,95790074300
272,4301,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6914562,95790074301
273,4302,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,f-1403,casa Grande Homes,kanathur Reddy Kuppam ,thirupor",3,6914563,95790074302
274,4303,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-102,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914564,95790074303
275,4304,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-103,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914565,95790074304
276,4305,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914566,95790074305
277,4306,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-202,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914567,95790074306
278,4307,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-203,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914568,95790074307
279,4308,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914569,95790074308
280,4309,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914570,95790074309
281,4310,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-302,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912781,95790074310
282,4311,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-303,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912782,95790074311
283,4312,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912783,95790074312
284,4313,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912784,95790074313
285,4314,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-402,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912785,95790074314
286,4315,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-403,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912786,95790074315
287,4316,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912787,95790074316
288,4317,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912788,95790074317
289,4318,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-502,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912789,95790074318
290,4319,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-503,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6912790,95790074319
291,4320,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914421,95790074320
292,4321,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-601,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914422,95790074321
293,4322,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-602,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914423,95790074322
294,4323,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-603,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914424,95790074323
295,4324,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914425,95790074324
296,4325,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-701,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6914426,95790074325
297,4326,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,g-702,casa Grande Homes,kanathur Reddy Kuppam ,thiruporu",3,6914427,95790074326
