SL no,S/C No.,Name,Address,Phase,Meter Number ,Service Connection number
34,4063,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913684,95790074063
35,4064,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-203,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913685,95790074064
36,4065,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-204,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913686,95790074065
37,4066,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-301,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913687,95790074066
38,4067,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-302,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913688,95790074067
39,4068,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,cb-303,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913689,95790074068
40,4069,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-304,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913690,95790074069
41,4070,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-401,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913541,95790074070
42,4071,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-402,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913542,95790074071
43,4072,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-403,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913543,95790074072
44,4073,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-404,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913544,95790074073
45,4074,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-501,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913545,95790074074
46,4075,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-502,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913546,95790074075
47,4076,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-503,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913547,95790074076
48,4077,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-504,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913548,95790074077
49,4078,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-601,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913549,95790074078
50,4079,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-602,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6913550,95790074079
51,4080,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-603,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912221,95790074080
52,4081,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-604,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912222,95790074081
53,4082,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-701,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912223,95790074082
54,4083,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-702,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912224,95790074083
55,4084,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-703,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912225,95790074084
56,4085,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-704,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912226,95790074085
57,4086,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-801,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912227,95790074086
58,4087,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-802,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912228,95790074087
59,4088,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-803,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912229,95790074088
60,4089,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-804,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6912230,95790074089
61,4090,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-901,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6916231,95790074090
62,4091,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-902,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6916232,95790074091
63,4092,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-903,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6916233,95790074092
64,4093,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-904,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kupp",3,6916234,95790074093
65,4094,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1001,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916235,95790074094
66,4095,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1002,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916236,95790074095
67,4096,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1003,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916237,95790074096
68,4097,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1004,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916238,95790074097
69,4098,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1101,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916239,95790074098
70,4099,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1102,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6916240,95790074099
71,4100,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1103,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913441,95790074100
72,4101,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1104,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913442,95790074101
73,4102,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1201,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913443,95790074102
74,4103,Casa Grande Homes Pvt. Ltd.,"M/s.s.prabhu Kumar,b-1202,s.no.35/2a2,2b2,36/2b,3,37/1,2,kanathur Reddy Kup",3,6913444,95790074103
